,Name,Variant,Transmission,km_driven,Owner_Type,Fuel,Price,Age
206,Hyundai Verna,SX PETROL MT,Manual,20361,1st Owner,Petrol,1191899,1
207,Maruti Alto,VXI PLUS,Manual,4889,1st Owner,Petrol,435499,1
208,Maruti Baleno,DELTA 1.2 K12,Manual,29525,2nd Owner,Petrol,607999,2
209,Honda WR-V,1.2 i-VTEC S MT,Manual,18136,2nd Owner,Petrol,652199,4
210,Hyundai Creta,1.6 VTVT SX AUTO,Automatic,31594,1st Owner,Petrol,1353699,3
211,Honda Jazz,1.2 ZX MT,Manual,10535,1st Owner,Petrol,893899,2
212,Tata ALTROZ,XZ 1.2,Manual,32106,1st Owner,Petrol,822499,2
213,Honda WR-V,1.2 i-VTEC VX MT,Manual,43575,1st Owner,Petrol,813199,3
214,Maruti New,VXI 1.2L,Manual,10471,2nd Owner,Petrol,558799,2
215,Maruti Ciaz,ALPHA 1.3 DDIS SHVS,Manual,35969,1st Owner,Diesel,903299,3
216,Maruti S,SIGMA 1.5 SHVS,Manual,1189,1st Owner,Petrol,941199,0
217,Tata TIGOR,XZ PLUS 1.2 REVOTRON,Manual,9553,1st Owner,Petrol,814799,1
218,Honda City,V MT PETROL,Manual,29922,1st Owner,Petrol,923399,3
219,Ford Ecosport,1.5 TITANIUM TI VCT,Manual,46901,2nd Owner,Petrol,630199,6
220,Maruti Baleno,DELTA 1.2 K12,Manual,22380,1st Owner,Petrol,643239,3
221,Honda Amaze,1.2 V CVT I VTEC,Automatic,29577,1st Owner,Petrol,794399,3
222,Maruti Swift,ZXI,Manual,63278,1st Owner,Petrol,446999,8
223,Hyundai Elite,1.2 SPORTS PLUS VTVT,Manual,45805,1st Owner,Petrol,702299,3
224,Maruti Alto,VXI,Manual,95218,1st Owner,Petrol,331199,5
225,Renault Kwid,1.0 RXT Opt,Manual,75123,1st Owner,Petrol,342999,4
226,Hyundai i20,SPORTZ 1.4 CRDI,Manual,121564,2nd Owner,Diesel,348599,9
227,Maruti Baleno,ZETA 1.2 K12,Manual,19398,1st Owner,Petrol,728199,3
228,Hyundai NEW,1.1 MAGNA AMT,Automatic,20498,1st Owner,Petrol,527699,3
230,Toyota Etios,G SP,Manual,36330,1st Owner,Petrol,376599,9
231,Hyundai NEW,SPORTZ 1.1,Manual,17336,1st Owner,Petrol,473899,2
232,MG HECTOR,SHARP DCT PETROL,Automatic,35443,1st Owner,Petrol,1726099,3
233,MG HECTOR,SHARP DCT PETROL,Automatic,36621,1st Owner,Petrol,1778399,3
234,Honda WR-V,1.2 i-VTEC VX MT,Manual,84302,1st Owner,Petrol,671699,5
235,Maruti New,1.0 Lxi (o) cng,Manual,16511,1st Owner,Petrol + CNG,684099,1
236,MG HECTOR,SHARP DCT PETROL,Automatic,38903,1st Owner,Petrol,1634199,3
237,Toyota Corolla,GL,Manual,58885,1st Owner,Petrol,1136899,5
238,Maruti Alto,VXI,Manual,5821,1st Owner,Petrol,428299,3
239,Honda City,V MT PETROL,Manual,23860,1st Owner,Petrol,870999,4
240,Maruti Ciaz,VXI PLUS,Manual,14253,1st Owner,Petrol,686399,6
241,Hyundai NEW,ASTA 1.1 MT,Manual,12664,1st Owner,Petrol,558899,3
242,Tata Hexa,Varicor 400 XMA,Automatic,75883,1st Owner,Diesel,1148749,4
243,Hyundai Elite,ASTA 1.2,Manual,25775,2nd Owner,Petrol,602099,5
245,Maruti Baleno,DELTA 1.2 K12,Manual,25227,1st Owner,Petrol,689199,3
246,Maruti Celerio,VXI,Manual,33888,2nd Owner,Petrol,441899,3
247,Maruti IGNIS,DELTA 1.2 K12,Manual,12799,1st Owner,Petrol,642999,1
