Title,cvakb,cvakb1,bvr0c,bvr0c2,bvr0c3,_7udzz,,,,,,
2021 Hyundai Verna,SX PETROL MT Manual,Manual,"20,361 km",1st Owner,Petrol,"?11,91,899",,,,,,
2021 Maruti Alto,VXI PLUS Manual,Manual,"4,889 km",1st Owner,Petrol,"?4,35,499",,,,,,
2020 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"29,525 km",2nd Owner,Petrol,"?6,07,999",,,,,,
2018 Honda WR-V,1.2 i-VTEC S MT Manual,Manual,"18,136 km",2nd Owner,Petrol,"?6,52,199",,,,,,
2019 Hyundai Creta,1.6 VTVT SX AUTO Automatic,Automatic,"31,594 km",1st Owner,Petrol,"?13,53,699",,,,,,
2020 Honda Jazz,1.2 ZX MT Manual,Manual,"10,535 km",1st Owner,Petrol,"?8,93,899",,,,,,
2020 Tata ALTROZ,XZ 1.2 Manual,Manual,"32,106 km",1st Owner,Petrol,"?8,22,499",,,,,,
2019 Honda WR-V,1.2 i-VTEC VX MT Manual,Manual,"43,575 km",1st Owner,Petrol,"?8,13,199",,,,,,
2020 Maruti New  Wagon-R,VXI 1.2L Manual,Manual,"10,471 km",2nd Owner,Petrol,"?5,58,799",,,,,,
2019 Maruti Ciaz,ALPHA 1.3 DDIS SHVS Manual,Manual,"35,969 km",1st Owner,Diesel,"?9,03,299",,,,,,
2022 Maruti S Cross,SIGMA 1.5 SHVS Manual,Manual,"1,189 km",1st Owner,Petrol,"?9,41,199",,,,,,
2021 Tata TIGOR,XZ PLUS 1.2 REVOTRON Manual,Manual,"9,553 km",1st Owner,Petrol,"?8,14,799",,,,,,
