Title,primefeatures,Price
Maruti Suzuki Ertiga ZXI Plus - 2013,"60,780 kms / Petrol","₹6,75,000 "
Skoda Rapid 1.6 TDI Elegance - 2012,"81,935 kms / Diesel","₹3,75,000 "
Audi Q3 2.0 TDI quattro Premium Plus - 2016,"90,000 kms / Diesel","₹21,25,000 "
Mahindra XUV 300 W8 Option Diesel - 2019,"32,000 kms / Diesel / 1st Owner","₹13,70,000 "
Kia Sonet - 2020,"14,569 kms / Petrol","₹13,25,000 "
Mahindra Jeep Classic - 2022,13 kms / Diesel,"₹3,98,000 "
Mercedes Benz CLA Class 200 Petrol Sport CBU - 2019,"18,000 kms / Petrol","₹35,00,000 "
Hyundai i20 Magna 1.2 - 2010,"67,265 kms / Petrol","₹3,70,000 "
Toyota Innova Crysta 2.8 ZX AT 7 STR - 2016,"96,000 kms / Diesel","₹19,25,000 "
Hyundai i20 Asta 1.2 O With Sunroof - 2010,"96,000 kms / Petrol","₹3,65,000 "
Nissan Sunny XL - 2012,"66,500 kms / Petrol / 2nd Owner","₹4,25,000 "
Hyundai i20 Sportz Option - 2010,"49,000 kms / Petrol","₹3,85,000 "
Maruti Suzuki Swift VXI BSIII - 2008,"1,21,000 kms / Petrol","₹2,95,000 "
Skoda Fabia 1.2L Diesel Elegance - 2012,"95,000 kms / Diesel","₹3,75,000 "
